"item","Pan de Azúcar","BA S/E DON GOYO 220KV BP2","addValue"
"2023-01-26 11","0.00","0.00",""
"2023-01-26 12","0.00","0.00",""
"2023-01-26 13","0.00","0.00",""
"2023-01-26 14","0.00","0.00",""
"2023-01-26 15","0.00","0.00",""
"2023-01-26 16","0.00","0.00",""
"2023-01-26 17","0.00","0.00",""
"2023-01-26 18","0.00","0.00",""
"2023-01-26 19","0.00","0.00",""
"2023-01-26 20","70.24","68.03",""
"2023-01-26 21","137.21","132.88",""
"2023-01-26 22","131.27","127.13",""
"2023-01-26 23","132.11","127.94",""
"2023-01-26 24","132.08","127.91",""
"2023-01-27 01","128.74","126.43",""
"2023-01-27 02","127.05","124.77",""
"2023-01-27 03","128.55","126.24",""
"2023-01-27 04","137.73","135.25",""
"2023-01-27 05","142.18","139.62",""
"2023-01-27 06","142.18","139.62",""
"2023-01-27 07","146.65","144.01",""
"2023-01-27 08","107.18","105.25",""
"2023-01-27 09","0.00","0.00",""
"2023-01-27 10","0.00","0.00",""
"2023-01-27 11","0.00","0.00",""
"2023-01-27 12","0.00","0.00",""
"2023-01-27 13","0.00","0.00",""
"2023-01-27 14","0.00","0.00",""
"2023-01-27 15","0.00","0.00",""
"2023-01-27 16","0.00","0.00",""
"2023-01-27 17","0.00","0.00",""
"2023-01-27 18","0.00","0.00",""
"2023-01-27 19","0.00","0.00",""
"2023-01-27 20","27.61","26.70",""
"2023-01-27 21","132.87","128.50",""
"2023-01-27 22","132.59","128.23",""
"2023-01-27 23","138.99","134.42",""
"2023-01-27 24","154.39","149.31",""
"2023-01-28 01","161.90","158.86",""
"2023-01-28 02","151.01","148.18",""
"2023-01-28 03","160.99","157.97",""
"2023-01-28 04","140.84","138.20",""
"2023-01-28 05","139.03","136.42",""
"2023-01-28 06","139.03","136.42",""
"2023-01-28 07","155.47","152.56",""
"2023-01-28 08","141.20","138.55",""
"2023-01-28 09","20.81","20.63",""
"2023-01-28 10","0.00","0.00",""
"2023-01-28 11","0.00","0.00",""
"2023-01-28 12","0.00","0.00",""
"2023-01-28 13","0.00","0.00",""
"2023-01-28 14","0.00","0.00",""
"2023-01-28 15","0.00","0.00",""
"2023-01-28 16","0.00","0.00",""
"2023-01-28 17","0.00","0.00",""
"2023-01-28 18","0.00","0.00",""
"2023-01-28 19","0.00","0.00",""
"2023-01-28 20","68.70","67.31",""
"2023-01-28 21","155.71","152.58",""
"2023-01-28 22","155.71","152.58",""
"2023-01-28 23","155.71","152.58",""
"2023-01-28 24","156.36","153.21",""
"2023-01-29 01","184.35","180.90",""
"2023-01-29 02","194.96","191.31",""
"2023-01-29 03","194.96","191.31",""
"2023-01-29 04","194.96","191.31",""
"2023-01-29 05","191.55","187.96",""
"2023-01-29 06","154.01","151.13",""
"2023-01-29 07","154.01","151.13",""
"2023-01-29 08","123.94","121.62",""
"2023-01-29 09","0.00","0.00",""
"2023-01-29 10","0.00","0.00",""
"2023-01-29 11","0.00","0.00",""
"2023-01-29 12","0.00","0.00",""
"2023-01-29 13","0.00","0.00",""
"2023-01-29 14","0.00","0.00",""
"2023-01-29 15","0.00","0.00",""
"2023-01-29 16","0.00","0.00",""
