Hora;G solar;;
18;18,1350773;;
19;7,957180498;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;9,771669495;;
8;18,12508377;;
9;20,95156597;;
10;22,13390778;;
11;22,90070129;;
12;23,29255872;;
13;23,40488802;;
14;23,45942485;;
15;23,22025868;;
16;22,54771877;;
17;21,07998483;;
18;17,81624395;;
19;7,443060081;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;9,433641591;;
8;18,11018683;;
9;20,8502636;;
10;21,98079043;;
11;22,82074882;;
12;23,45516409;;
13;23,27485516;;
14;23,40163514;;
15;23,34072471;;
16;22,70953515;;
17;21,17946613;;
18;17,68483139;;
19;6,87286699;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;9,640142262;;
8;18,53594224;;
9;21,26981471;;
10;22,3054629;;
11;23,18319488;;
12;23,53430574;;
13;23,33154385;;
14;23,60296618;;
15;23,32722389;;
16;22,55329208;;
17;21,09735712;;
18;17,74410695;;
19;6,790480217;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;9,51899139;;
8;18,44180398;;
9;21,17487956;;
10;22,43701284;;
11;22,9450155;;
12;23,53464731;;
13;23,58815187;;
14;23,50674745;;
15;23,16218327;;
16;22,5959166;;
17;21,24444117;;
18;17,76518215;;
19;6,474964082;;
20;-0,015;;
